"n","nombre","ruta","extension","tamano_bytes","fecha_creacion","fecha_modificacion","cliente","categoria","subcategoria","estado_lectura","relevancia","duplicado","documentos_relacionados","observaciones"
"75","PTT-20260814-WA0184.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0184.opus",".opus","69718","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"76","PTT-20260814-WA0188.opus","MARC\Chat de WhatsApp con MARC\PTT-20260814-WA0188.opus",".opus","4801","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"77","PTT-20260815-WA0071.opus","MARC\Chat de WhatsApp con MARC\PTT-20260815-WA0071.opus",".opus","36154","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"78","PTT-20260815-WA0073.opus","MARC\Chat de WhatsApp con MARC\PTT-20260815-WA0073.opus",".opus","23604","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"79","PTT-20260815-WA0074.opus","MARC\Chat de WhatsApp con MARC\PTT-20260815-WA0074.opus",".opus","39581","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"80","PTT-20260815-WA0077.opus","MARC\Chat de WhatsApp con MARC\PTT-20260815-WA0077.opus",".opus","21167","15/08/2026 18:10","15/08/2026 18:12","MARC","10_AUDIO","Nota de voz de WhatsApp","SÍ — TRANSCRIPCIÓN AUTOMÁTICA (Vosk; calidad limitada)","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Transcripción en AUDITORIA_GLOBAL/transcripciones o archivo PTT-*.txt"
"81","00_AUDITORIA_MAESTRA_COMPLETA.md","MARC Y AURORA\AUDITORIA_GLOBAL\00_AUDITORIA_MAESTRA_COMPLETA.md",".md","22323","16/08/2026 02:09","16/08/2026 02:10","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"82","00_INDICE_AUDITORIA.md","MARC Y AURORA\AUDITORIA_GLOBAL\00_INDICE_AUDITORIA.md",".md","2281","16/08/2026 01:10","16/08/2026 01:10","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"83","01_MAPA_CARPETAS.md","MARC Y AURORA\AUDITORIA_GLOBAL\01_MAPA_CARPETAS.md",".md","8680","16/08/2026 01:58","16/08/2026 01:58","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"84","02_INVENTARIO_ARCHIVOS.md","MARC Y AURORA\AUDITORIA_GLOBAL\02_INVENTARIO_ARCHIVOS.md",".md","8015","16/08/2026 01:58","16/08/2026 01:59","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"85","03_ANALISIS_DOCUMENTAL.md","MARC Y AURORA\AUDITORIA_GLOBAL\03_ANALISIS_DOCUMENTAL.md",".md","8090","16/08/2026 01:59","16/08/2026 01:59","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"86","04_MAPA_PERSONAS.md","MARC Y AURORA\AUDITORIA_GLOBAL\04_MAPA_PERSONAS.md",".md","3672","16/08/2026 01:59","16/08/2026 02:00","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"87","05_MAPA_EMPRESAS.md","MARC Y AURORA\AUDITORIA_GLOBAL\05_MAPA_EMPRESAS.md",".md","2505","16/08/2026 02:00","16/08/2026 02:00","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"88","06_MAPA_PROYECTOS.md","MARC Y AURORA\AUDITORIA_GLOBAL\06_MAPA_PROYECTOS.md",".md","3180","16/08/2026 02:00","16/08/2026 02:06","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"89","07_MAPA_CONTRATOS.md","MARC Y AURORA\AUDITORIA_GLOBAL\07_MAPA_CONTRATOS.md",".md","1875","16/08/2026 02:06","16/08/2026 02:06","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"90","08_MAPA_MARKETING.md","MARC Y AURORA\AUDITORIA_GLOBAL\08_MAPA_MARKETING.md",".md","1938","16/08/2026 02:07","16/08/2026 02:07","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"91","09_MAPA_FINANCIERO.md","MARC Y AURORA\AUDITORIA_GLOBAL\09_MAPA_FINANCIERO.md",".md","1655","16/08/2026 02:07","16/08/2026 02:07","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"92","10_MAPA_OPERATIVO.md","MARC Y AURORA\AUDITORIA_GLOBAL\10_MAPA_OPERATIVO.md",".md","2199","16/08/2026 02:07","16/08/2026 02:07","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"93","11_MAPA_TECNOLOGICO.md","MARC Y AURORA\AUDITORIA_GLOBAL\11_MAPA_TECNOLOGICO.md",".md","1885","16/08/2026 02:07","16/08/2026 02:07","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"94","12_LOCAL_VS_DRIVE.md","MARC Y AURORA\AUDITORIA_GLOBAL\12_LOCAL_VS_DRIVE.md",".md","2585","16/08/2026 02:08","16/08/2026 02:08","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"95","13_DUPLICADOS.md","MARC Y AURORA\AUDITORIA_GLOBAL\13_DUPLICADOS.md",".md","2102","16/08/2026 02:08","16/08/2026 02:08","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"96","14_CONTRADICCIONES.md","MARC Y AURORA\AUDITORIA_GLOBAL\14_CONTRADICCIONES.md",".md","2815","16/08/2026 02:08","16/08/2026 02:08","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"97","15_INFORMACION_FALTANTE.md","MARC Y AURORA\AUDITORIA_GLOBAL\15_INFORMACION_FALTANTE.md",".md","2930","16/08/2026 02:08","16/08/2026 02:09","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"98","16_CONCLUSIONES.md","MARC Y AURORA\AUDITORIA_GLOBAL\16_CONCLUSIONES.md",".md","3893","16/08/2026 02:09","16/08/2026 02:09","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"99","17_ANALISIS_IMAGENES_FASE2.md","MARC Y AURORA\AUDITORIA_GLOBAL\17_ANALISIS_IMAGENES_FASE2.md",".md","3018","16/08/2026 02:33","16/08/2026 02:33","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"100","18_DOCUMENTOS_RECUPERADOS_FASE2.md","MARC Y AURORA\AUDITORIA_GLOBAL\18_DOCUMENTOS_RECUPERADOS_FASE2.md",".md","12453","16/08/2026 02:31","16/08/2026 02:31","COMPARTIDO","24_ARCHIVO","Auditoría previa (16/08) — conservada","SÍ — revisada como antecedente","MEDIA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Auditoría anterior de Cline; parcialmente errónea (ver 00_AUDITORIA_GLOBAL_COMPLETA.md)"
"101","00_RESUMEN_EJECUTIVO_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\00_RESUMEN_EJECUTIVO_AURORA.md",".md","765","15/08/2026 19:02","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"102","01_AUDITORIA_COMPLETA_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\01_AUDITORIA_COMPLETA_AURORA.md",".md","840","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"103","01_INVENTARIO_DOCUMENTAL.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\01_INVENTARIO_DOCUMENTAL.md",".md","916","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"104","02_AUDITORIA_DE_MARC.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\02_AUDITORIA_DE_MARC.md",".md","443","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"105","02_CONTEXTO_NEGOCIO.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\02_CONTEXTO_NEGOCIO.md",".md","596","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"106","03_MAPA_DEL_NEGOCIO_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\03_MAPA_DEL_NEGOCIO_AURORA.md",".md","527","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"107","03_OFERTA_Y_PRODUCTOS.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\03_OFERTA_Y_PRODUCTOS.md",".md","570","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"108","04_MAPA_DE_MARKETING_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\04_MAPA_DE_MARKETING_AURORA.md",".md","350","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"109","04_MARKETING.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\04_MARKETING.md",".md","357","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"110","05_MAPA_DEL_EMBUDO_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\05_MAPA_DEL_EMBUDO_AURORA.md",".md","275","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"111","05_VENTAS.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\05_VENTAS.md",".md","503","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"112","06_EMBUDO.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\06_EMBUDO.md",".md","459","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"113","06_MAPA_DE_AUTOMATIZACIONES_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\06_MAPA_DE_AUTOMATIZACIONES_AURORA.md",".md","312","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"114","07_AUDITORIA_DE_HERRAMIENTAS_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\07_AUDITORIA_DE_HERRAMIENTAS_AURORA.md",".md","441","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"115","07_AUTOMATIZACIONES.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\07_AUTOMATIZACIONES.md",".md","377","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"116","08_AUDITORIA_FINANCIERA_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\08_AUDITORIA_FINANCIERA_AURORA.md",".md","220","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"117","08_IA_Y_TECNOLOGIA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\08_IA_Y_TECNOLOGIA.md",".md","381","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"118","09_AUDITORIA_CONTRACTUAL_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\09_AUDITORIA_CONTRACTUAL_AURORA.md",".md","290","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"119","09_HERRAMIENTAS_Y_ACCESOS.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\09_HERRAMIENTAS_Y_ACCESOS.md",".md","394","15/08/2026 19:01","15/08/2026 19:01","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"120","10_FINANZAS_Y_PRECIOS.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\10_FINANZAS_Y_PRECIOS.md",".md","331","15/08/2026 19:01","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"121","10_KPI_Y_METRICAS_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\10_KPI_Y_METRICAS_AURORA.md",".md","224","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"122","11_CONTRATOS_Y_RESPONSABILIDADES.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\11_CONTRATOS_Y_RESPONSABILIDADES.md",".md","306","15/08/2026 19:02","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"123","11_RIESGOS_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\11_RIESGOS_AURORA.md",".md","398","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"124","12_KPIS_Y_METRICAS.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\12_KPIS_Y_METRICAS.md",".md","239","15/08/2026 19:02","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"125","12_OPORTUNIDADES_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\12_OPORTUNIDADES_AURORA.md",".md","422","15/08/2026 19:03","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"126","13_PREGUNTAS_PARA_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\13_PREGUNTAS_PARA_AURORA.md",".md","542","15/08/2026 19:03","15/08/2026 19:04","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"127","13_PROBLEMAS_Y_RIESGOS.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\13_PROBLEMAS_Y_RIESGOS.md",".md","451","15/08/2026 19:02","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"128","14_OPORTUNIDADES.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\14_OPORTUNIDADES.md",".md","480","15/08/2026 19:02","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"129","14_PLAN_30_60_90_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\14_PLAN_30_60_90_AURORA.md",".md","474","15/08/2026 19:05","15/08/2026 19:06","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"130","15_PREGUNTAS_PENDIENTES.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\15_PREGUNTAS_PENDIENTES.md",".md","663","15/08/2026 19:02","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"131","15_REUNION_BRIEF_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\15_REUNION_BRIEF_AURORA.md",".md","411","15/08/2026 19:05","15/08/2026 19:06","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"132","16_DOCUMENTO_ALINEACION_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\16_DOCUMENTO_ALINEACION_AURORA.md",".md","551","15/08/2026 19:05","15/08/2026 19:06","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"133","16_PLAN_DE_ACCION.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\16_PLAN_DE_ACCION.md",".md","444","15/08/2026 19:02","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"134","17_DOCUMENTOS_PARA_REUNION.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\17_DOCUMENTOS_PARA_REUNION.md",".md","630","15/08/2026 19:02","15/08/2026 19:02","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"135","17_FUENTES_AURORA.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\17_FUENTES_AURORA.md",".md","604","15/08/2026 19:05","15/08/2026 19:06","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"136","18_FUENTES_Y_EVIDENCIAS.md","MARC Y AURORA\AURORA\00_AUDITORIA_MAESTRA\18_FUENTES_Y_EVIDENCIAS.md",".md","656","15/08/2026 19:02","15/08/2026 19:03","AURORA","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"137","Imágenes Aurora","GOOGLE DRIVE / RAIZ","(carpeta)","n/d","n/d","n/d","AURORA","11_IMÁGENES","Carpeta Drive","SÍ — recorrido e inventariado","MEDIA","—","Ver 14_GOOGLE_DRIVE_AUDITORIA.md","Carpeta de Google Drive"
"138","2026_06_03_18_16_49_923.mp4","GOOGLE DRIVE / Imágenes Aurora",".mp4","n/d","n/d","n/d","AURORA","11_IMÁGENES","Vídeo Drive","NO LEÍDO — vídeo sin transcribir","ALTA","—","Ver 14_GOOGLE_DRIVE_AUDITORIA.md","Carpeta Drive: Imágenes Aurora. Posible material para VSL/videos (INFERENCIA)"
"139","2026_06_03_18_19_54_651.mp4","GOOGLE DRIVE / Imágenes Aurora",".mp4","n/d","n/d","n/d","AURORA","11_IMÁGENES","Vídeo Drive","NO LEÍDO — vídeo sin transcribir","ALTA","—","Ver 14_GOOGLE_DRIVE_AUDITORIA.md","Carpeta Drive: Imágenes Aurora. Posible material para VSL/videos (INFERENCIA)"
"140","2026_06_04_13_26_21_906 (1).mp4","GOOGLE DRIVE / Imágenes Aurora",".mp4","n/d","n/d","n/d","AURORA","11_IMÁGENES","Vídeo Drive","NO LEÍDO — vídeo sin transcribir","ALTA","—","Ver 14_GOOGLE_DRIVE_AUDITORIA.md","Carpeta Drive: Imágenes Aurora. Posible material para VSL/videos (INFERENCIA)"
"141","2026_06_04_14_21_01_003 (1).mp4","GOOGLE DRIVE / Imágenes Aurora",".mp4","n/d","n/d","n/d","AURORA","11_IMÁGENES","Vídeo Drive","NO LEÍDO — vídeo sin transcribir","ALTA","—","Ver 14_GOOGLE_DRIVE_AUDITORIA.md","Carpeta Drive: Imágenes Aurora. Posible material para VSL/videos (INFERENCIA)"
"142","2026_06_04_14_40_21_015 (2).mp4","GOOGLE DRIVE / Imágenes Aurora",".mp4","n/d","n/d","n/d","AURORA","11_IMÁGENES","Vídeo Drive","NO LEÍDO — vídeo sin transcribir","ALTA","—","Ver 14_GOOGLE_DRIVE_AUDITORIA.md","Carpeta Drive: Imágenes Aurora. Posible material para VSL/videos (INFERENCIA)"
"143","2026_06_04_15_16_24_737.mp4","GOOGLE DRIVE / Imágenes Aurora",".mp4","n/d","n/d","n/d","AURORA","11_IMÁGENES","Vídeo Drive","NO LEÍDO — vídeo sin transcribir","ALTA","—","Ver 14_GOOGLE_DRIVE_AUDITORIA.md","Carpeta Drive: Imágenes Aurora. Posible material para VSL/videos (INFERENCIA)"
